x0,x1
0,0
0.002,0
0.003996,0
0.005988,0
0.0079728,6.91e-06
0.0099488,1.491e-05
0.0119257,3.536e-05
0.0138937,5.987e-05
0.0158661,9.987e-05
0.0178343,0.00011987
0.0197987,0.00015987
0.0217491,0.00019987
0.0237055,0.00026237
0.0256481,0.00032237
0.0275967,0.00038487
0.0295415,0.00046487
0.0314823,0.00054487
0.0334143,0.00064487
0.0353325,0.00072487
0.0372619,0.00082987
0.0391825,0.00092987
0.0411091,0.00104987
0.0430269,0.00116987
0.0449209,0.00130987
0.0468211,0.00144987
0.0487073,0.00158987
0.0505999,0.00174987
0.0524787,0.00190987
0.0543639,0.00208987
0.0562501,0.00226987
0.0581177,0.00244987
0.0599915,0.00263487
0.0618515,0.00283487
0.0636877,0.00303487
0.0655405,0.00323487
0.0673845,0.00345487
0.0692297,0.00367487
0.0710613,0.00391487
0.0728861,0.00413987
0.0747003,0.00437987
0.0765109,0.00461987
0.0783179,0.00486987
0.0801213,0.00510987
0.0819211,0.00536987
0.0837173,0.00562987
0.0855099,0.00590987
0.0872887,0.00618987
0.0890541,0.00648987
0.0908159,0.00678987
0.0925743,0.00708987
0.0943291,0.00738987
0.0960805,0.00768987
0.0978285,0.00798987
0.0995529,0.00830237
0.101294,0.00862237
0.103031,0.00895237
0.104745,0.00927237
0.106466,0.00961237
0.108163,0.00995237
0.109867,0.0103024
0.111567,0.0106624
0.113264,0.0110224
0.114957,0.0113824
0.116632,0.0117424
0.118319,0.0121124
0.120003,0.0124924
0.121683,0.0128724
0.123339,0.0132624
0.124993,0.0136524
0.126643,0.0140324
0.128294,0.0144524
0.129928,0.0148524
0.131568,0.0152724
0.133195,0.0156924
0.134833,0.0161124
0.136443,0.0165324
0.138051,0.0169524
0.139654,0.0173724
0.14126,0.0177924
0.142868,0.0182324
0.144462,0.0186724
0.146048,0.0191124
0.147626,0.0195574
0.149191,0.0200174
0.150752,0.0204774
0.152301,0.0209174
0.153861,0.0213574
0.155414,0.0218174
0.156973,0.0222774
0.158514,0.0227524
0.160037,0.0232324
0.161557,0.0237124
0.163074,0.0241924
0.164577,0.0246724
0.166088,0.0251574
0.167596,0.0256374
0.169101,0.0261374
0.170583,0.0266274
0.172081,0.0271224
0.173577,0.0276224
0.17505,0.0281224
0.17652,0.0286224
0.177987,0.0291224
0.179431,0.0296424
0.180872,0.0301524
0.18231,0.0306724
0.183746,0.0311874
0.185188,0.0317074
0.186618,0.0322199
0.188047,0.0327399
0.189479,0.0332679
0.190901,0.0338079
0.192318,0.0343279
0.193728,0.0348479
0.195133,0.0353823
0.196537,0.0359263
0.197919,0.0364663
0.199308,0.037009
0.200695,0.0375498
0.202074,0.0380998
0.203456,0.0386448
0.204813,0.0391948
0.206178,0.0397448
0.207541,0.0402998
0.208897,0.0408398
0.210253,0.0413977
0.211594,0.0419576
0.212931,0.0425176
0.21427,0.0430777
0.215593,0.0436537
0.216917,0.0442186
0.218238,0.044785
